iter	Passed	Remaining
0	1	728
1	2	576
2	2	548
3	3	507
4	4	505
5	5	480
6	5	465
7	6	455
8	6	442
9	7	432
10	8	424
11	8	422
12	9	423
13	10	416
14	10	410
15	11	405
16	12	402
17	12	398
18	13	395
19	14	393
20	14	389
21	15	389
22	16	392
23	17	393
24	17	392
25	18	391
26	19	392
27	19	389
28	20	385
29	20	383
30	21	382
31	22	380
32	22	379
33	23	378
34	24	375
35	24	375
36	25	375
37	26	373
38	27	374
39	27	374
40	28	373
41	29	371
42	29	369
43	30	368
44	30	365
45	31	364
46	32	363
47	32	362
48	33	360
49	34	359
50	34	358
51	35	357
52	35	355
53	36	353
54	37	352
55	37	350
56	38	349
57	38	348
58	39	346
59	40	345
60	40	344
61	41	342
62	41	341
63	42	339
64	42	339
65	43	337
66	44	337
67	44	336
68	45	335
69	46	335
70	46	334
71	47	332
72	48	332
73	48	331
74	49	330
75	49	329
76	50	328
77	51	327
78	51	326
79	52	326
80	52	325
81	53	324
82	54	323
83	54	322
84	55	321
85	56	320
86	56	319
87	57	319
88	58	318
89	58	318
90	59	318
91	60	317
92	60	316
93	61	315
94	61	314
95	62	313
96	63	312
97	63	311
98	64	310
99	64	309
100	65	309
101	66	308
102	66	307
103	67	306
104	67	305
105	68	304
106	69	304
107	69	303
108	70	302
109	71	303
110	71	302
111	72	301
112	73	301
113	73	300
114	74	299
115	75	299
116	75	298
117	76	298
118	77	297
119	77	296
120	78	295
121	78	295
122	79	294
123	80	294
124	80	293
125	81	292
126	82	291
127	82	290
128	83	290
129	83	289
130	84	288
131	85	287
132	85	287
133	86	286
134	87	285
135	87	285
136	88	284
137	89	284
138	89	283
139	90	282
140	91	282
141	91	281
142	92	280
143	93	280
144	93	279
145	94	278
146	94	278
147	95	278
148	96	277
149	96	276
150	97	276
151	98	275
152	98	274
153	99	273
154	100	273
155	100	272
156	101	271
157	102	271
158	102	270
159	103	270
160	103	269
161	104	268
162	105	267
163	105	267
164	106	266
165	107	265
166	107	265
