date,city,prob_drought,prob_flood_risk,prob_normal,predicted_class
03/05/2026,Badulla,0.18,0.012,0.807,normal
03/06/2026,Badulla,0.201,0.013,0.785,normal
03/07/2026,Badulla,0.281,0.016,0.703,normal
03/08/2026,Badulla,0.484,0.017,0.499,normal
03/10/2026,Badulla,0.711,0.018,0.271,drought
03/11/2026,Badulla,0.596,0.03,0.374,drought
03/12/2026,Badulla,0.501,0.017,0.481,drought
03/13/2026,Badulla,0.278,0.019,0.703,normal
03/14/2026,Badulla,0.152,0.515,0.333,flood
03/15/2026,Badulla,0.089,0.012,0.899,normal
03/16/2026,Badulla,0.115,0.014,0.871,normal
03/05/2026,Hambantota,0.221,0.015,0.765,normal
03/06/2026,Hambantota,0.24,0.016,0.743,normal
03/07/2026,Hambantota,0.33,0.019,0.651,normal
03/08/2026,Hambantota,0.424,0.022,0.555,normal
03/10/2026,Hambantota,0.49,0.02,0.489,drought
03/11/2026,Hambantota,0.45,0.022,0.528,normal
03/12/2026,Hambantota,0.437,0.022,0.541,normal
03/13/2026,Hambantota,0.43,0.021,0.549,normal
03/14/2026,Hambantota,0.418,0.019,0.563,normal
03/15/2026,Hambantota,0.431,0.021,0.548,normal
03/16/2026,Hambantota,0.455,0.021,0.525,normal
03/05/2026,Jaffna,0.26,0.015,0.725,normal
03/06/2026,Jaffna,0.427,0.018,0.555,normal
03/07/2026,Jaffna,0.46,0.018,0.522,normal
03/08/2026,Jaffna,0.685,0.018,0.297,drought
03/10/2026,Jaffna,0.564,0.022,0.413,drought
03/11/2026,Jaffna,0.575,0.016,0.409,drought
03/12/2026,Jaffna,0.612,0.016,0.372,drought
03/13/2026,Jaffna,0.603,0.016,0.381,drought
03/14/2026,Jaffna,0.531,0.017,0.452,drought
03/15/2026,Jaffna,0.532,0.017,0.45,drought
03/16/2026,Jaffna,0.523,0.016,0.461,drought
03/05/2026,Kurunegala,0.15,0.014,0.836,normal
03/06/2026,Kurunegala,0.179,0.014,0.808,normal
03/07/2026,Kurunegala,0.291,0.018,0.691,normal
03/08/2026,Kurunegala,0.568,0.02,0.412,drought
03/10/2026,Kurunegala,0.539,0.018,0.443,drought
03/11/2026,Kurunegala,0.539,0.018,0.443,drought
03/12/2026,Kurunegala,0.519,0.019,0.463,drought
03/13/2026,Kurunegala,0.442,0.019,0.538,normal
03/14/2026,Kurunegala,0.452,0.018,0.53,normal
03/15/2026,Kurunegala,0.46,0.019,0.521,normal
03/16/2026,Kurunegala,0.493,0.018,0.489,drought
03/05/2026,Matale,0.145,0.013,0.842,normal
03/06/2026,Matale,0.151,0.012,0.837,normal
03/07/2026,Matale,0.28,0.018,0.702,normal
03/08/2026,Matale,0.551,0.018,0.431,drought
03/10/2026,Matale,0.53,0.018,0.452,drought
03/11/2026,Matale,0.533,0.018,0.449,drought
03/12/2026,Matale,0.522,0.019,0.46,drought
03/13/2026,Matale,0.476,0.019,0.505,normal
03/14/2026,Matale,0.366,0.017,0.617,normal
03/15/2026,Matale,0.406,0.017,0.578,normal
03/16/2026,Matale,0.42,0.018,0.561,normal
03/05/2026,Nuwara_Eliya,0.163,0.013,0.825,normal
03/06/2026,Nuwara_Eliya,0.162,0.012,0.826,normal
03/07/2026,Nuwara_Eliya,0.195,0.013,0.792,normal
03/08/2026,Nuwara_Eliya,0.213,0.013,0.774,normal
03/10/2026,Nuwara_Eliya,0.342,0.016,0.642,normal
03/11/2026,Nuwara_Eliya,0.342,0.016,0.642,normal
03/12/2026,Nuwara_Eliya,0.344,0.016,0.64,normal
03/13/2026,Nuwara_Eliya,0.32,0.016,0.664,normal
03/14/2026,Nuwara_Eliya,0.27,0.016,0.714,normal
03/15/2026,Nuwara_Eliya,0.29,0.016,0.694,normal
03/16/2026,Nuwara_Eliya,0.315,0.017,0.668,normal
03/05/2026,Ratnapura,0.076,0.012,0.912,normal
03/06/2026,Ratnapura,0.088,0.013,0.899,normal
03/07/2026,Ratnapura,0.108,0.013,0.879,normal
03/08/2026,Ratnapura,0.121,0.014,0.865,normal
03/10/2026,Ratnapura,0.128,0.016,0.856,normal
03/11/2026,Ratnapura,0.119,0.016,0.865,normal
03/12/2026,Ratnapura,0.104,0.014,0.882,normal
03/13/2026,Ratnapura,0.105,0.015,0.881,normal
03/14/2026,Ratnapura,0.117,0.015,0.868,normal
03/15/2026,Ratnapura,0.089,0.015,0.896,normal
03/16/2026,Ratnapura,0.087,0.015,0.899,normal
