Date,DollarRate,RateChange %
01/03/2010,114.4,0.00%
01/10/2010,114.25,-0.13%
01/17/2010,114.35,0.09%
01/24/2010,114.65,0.26%
01/31/2010,114.7,0.04%
02/07/2010,114.7,0.00%
02/14/2010,114.4,-0.26%
02/21/2010,114.625,0.20%
02/28/2010,114.19,-0.38%
03/07/2010,113.98,-0.18%
03/14/2010,114.05,0.06%
03/21/2010,114.13,0.07%
03/28/2010,113.85,-0.25%
04/04/2010,113.9,0.04%
04/11/2010,114.0,0.09%
04/18/2010,113.89,-0.10%
04/25/2010,113.95,0.05%
05/02/2010,113.75,-0.18%
05/09/2010,113.7,-0.04%
05/16/2010,113.83,0.11%
05/23/2010,113.95,0.11%
05/30/2010,113.6,-0.31%
06/06/2010,113.515,-0.07%
06/13/2010,113.525,0.01%
06/20/2010,113.65,0.11%
06/27/2010,113.385,-0.23%
07/04/2010,113.45,0.06%
07/11/2010,112.75,-0.62%
07/18/2010,112.74,-0.01%
07/25/2010,112.8,0.05%
08/01/2010,112.35,-0.40%
08/08/2010,112.35,0.00%
08/15/2010,112.3,-0.04%
08/22/2010,112.65,0.31%
08/29/2010,112.7,0.04%
09/05/2010,112.41,-0.26%
09/12/2010,112.45,0.04%
09/19/2010,112.01,-0.39%
09/26/2010,111.8,-0.19%
10/03/2010,111.61,-0.17%
10/10/2010,111.8,0.17%
10/17/2010,111.65,-0.13%
10/24/2010,111.65,0.00%
10/31/2010,111.41,-0.21%
11/07/2010,111.65,0.22%
11/14/2010,111.7,0.04%
11/21/2010,111.47,-0.21%
11/28/2010,111.28,-0.17%
12/05/2010,110.915,-0.33%
12/12/2010,111.175,0.23%
12/19/2010,111.15,-0.02%
12/26/2010,110.945,-0.18%
01/02/2011,110.85,-0.09%
01/09/2011,110.76,-0.08%
01/16/2011,111.01,0.23%
01/23/2011,110.76,-0.23%
01/30/2011,110.71,-0.05%
02/06/2011,111.05,0.31%
02/13/2011,110.9,-0.14%
02/20/2011,110.775,-0.11%
02/27/2011,110.365,-0.37%
03/06/2011,110.05,-0.29%
03/13/2011,110.45,0.36%
03/20/2011,110.35,-0.09%
03/27/2011,110.35,0.00%
04/03/2011,110.4,0.05%
04/10/2011,110.4,0.00%
04/17/2011,110.175,-0.20%
04/24/2011,109.9,-0.25%
05/01/2011,109.775,-0.11%
05/08/2011,109.75,-0.02%
05/15/2011,109.81,0.05%
05/22/2011,109.87,0.05%
05/29/2011,109.725,-0.13%
06/05/2011,109.5,-0.21%
06/12/2011,109.55,0.05%
06/19/2011,109.59,0.04%
06/26/2011,109.5,-0.08%
07/03/2011,109.495,0.00%
07/10/2011,109.49,0.00%
07/17/2011,109.45,-0.04%
07/24/2011,109.45,0.00%
07/31/2011,109.705,0.23%
08/07/2011,109.65,-0.05%
08/14/2011,109.95,0.27%
08/21/2011,109.99,0.04%
08/28/2011,110.0,0.01%
09/04/2011,109.97,-0.03%
09/11/2011,109.97,0.00%
09/18/2011,110.3,0.30%
09/25/2011,109.97,-0.30%
10/02/2011,110.2,0.21%
10/09/2011,110.2,0.00%
10/16/2011,109.97,-0.21%
10/23/2011,109.96,-0.01%
10/30/2011,110.16,0.18%
11/06/2011,110.2,0.04%
11/13/2011,110.21,0.01%
11/20/2011,113.83,3.28%
11/27/2011,113.895,0.06%
12/04/2011,113.73,-0.14%
12/11/2011,113.73,0.00%
12/18/2011,113.77,0.04%
12/25/2011,113.9,0.11%
01/01/2012,113.83,-0.06%
01/08/2012,113.83,0.00%
01/15/2012,113.915,0.07%
01/22/2012,113.835,-0.07%
01/29/2012,113.96,0.11%
02/05/2012,114.81,0.75%
02/12/2012,118.25,3.00%
02/19/2012,119.85,1.35%
02/26/2012,121.7,1.54%
03/04/2012,121.06,-0.53%
03/11/2012,125.85,3.96%
03/18/2012,130.1,3.38%
03/25/2012,128.25,-1.42%
04/01/2012,126.15,-1.64%
04/08/2012,128.65,1.98%
04/15/2012,130.01,1.06%
04/22/2012,129.95,-0.05%
04/29/2012,127.41,-1.95%
05/06/2012,127.61,0.16%
05/13/2012,129.51,1.49%
05/20/2012,130.71,0.93%
05/27/2012,130.51,-0.15%
06/03/2012,130.01,-0.38%
06/10/2012,131.51,1.15%
06/17/2012,133.01,1.14%
06/24/2012,133.26,0.19%
07/01/2012,133.45,0.14%
07/08/2012,134.0,0.41%
07/15/2012,131.26,-2.04%
07/22/2012,132.0,0.56%
07/29/2012,131.95,-0.04%
08/05/2012,131.9,-0.04%
08/12/2012,132.375,0.36%
08/19/2012,132.25,-0.09%
08/26/2012,132.375,0.09%
09/02/2012,132.375,0.00%
09/09/2012,132.1,-0.21%
09/16/2012,131.35,-0.57%
09/23/2012,129.425,-1.47%
09/30/2012,128.4,-0.79%
10/07/2012,128.45,0.04%
10/14/2012,129.025,0.45%
10/21/2012,129.8,0.60%
10/28/2012,130.3,0.39%
11/04/2012,130.8,0.38%
11/11/2012,129.95,-0.65%
11/18/2012,130.2,0.19%
11/25/2012,130.15,-0.04%
12/02/2012,128.55,-1.23%
12/09/2012,128.55,0.00%
12/16/2012,127.0,-1.21%
12/23/2012,127.0,0.00%
12/30/2012,127.4,0.31%
01/06/2013,126.25,-0.90%
01/13/2013,126.55,0.24%
01/20/2013,127.15,0.47%
01/27/2013,126.3,-0.67%
02/03/2013,126.3,0.00%
02/10/2013,126.7,0.32%
02/17/2013,127.4,0.55%
02/24/2013,127.43,0.02%
03/03/2013,126.55,-0.69%
03/10/2013,126.15,-0.32%
03/17/2013,126.85,0.55%
03/24/2013,126.75,-0.08%
03/31/2013,125.6,-0.91%
04/07/2013,125.4,-0.16%
04/14/2013,125.96,0.45%
04/21/2013,127.3,1.06%
04/28/2013,126.25,-0.82%
05/05/2013,126.2,-0.04%
05/12/2013,126.3,0.08%
05/19/2013,126.35,0.04%
05/26/2013,126.525,0.14%
06/02/2013,126.35,-0.14%
06/09/2013,128.55,1.74%
06/16/2013,128.85,0.23%
06/23/2013,130.6,1.36%
06/30/2013,130.65,0.04%
07/07/2013,130.85,0.15%
07/14/2013,131.7,0.65%
07/21/2013,131.625,-0.06%
07/28/2013,131.65,0.02%
08/04/2013,131.7,0.04%
08/11/2013,131.75,0.04%
08/18/2013,132.51,0.58%
08/25/2013,132.9,0.29%
09/01/2013,132.91,0.01%
09/08/2013,132.25,-0.50%
09/15/2013,132.2,-0.04%
09/22/2013,132.025,-0.13%
09/29/2013,131.3,-0.55%
10/06/2013,131.075,-0.17%
10/13/2013,131.0,-0.06%
10/20/2013,130.65,-0.27%
10/27/2013,131.025,0.29%
11/03/2013,131.125,0.08%
11/10/2013,131.15,0.02%
11/17/2013,131.15,0.00%
11/24/2013,131.25,0.08%
12/01/2013,130.85,-0.30%
12/08/2013,130.81,-0.03%
12/15/2013,130.7,-0.08%
12/22/2013,130.75,0.04%
12/29/2013,130.7,-0.04%
01/05/2014,130.7,0.00%
01/12/2014,130.7,0.00%
01/19/2014,130.65,-0.04%
01/26/2014,130.75,0.08%
02/02/2014,130.75,0.00%
02/09/2014,130.825,0.06%
02/16/2014,130.95,0.10%
02/23/2014,130.725,-0.17%
03/02/2014,130.575,-0.11%
03/09/2014,130.605,0.02%
03/16/2014,130.625,0.02%
03/23/2014,130.7,0.06%
03/30/2014,130.6,-0.08%
04/06/2014,130.6,0.00%
04/13/2014,130.61,0.01%
04/20/2014,130.615,0.00%
04/27/2014,130.625,0.01%
05/04/2014,130.4,-0.17%
05/11/2014,130.35,-0.04%
05/18/2014,130.4,0.04%
