vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg_%,week_num,price_lag1,price_lag2,price_roll_mean_4,price_roll_std_4,avg_prob_drought,max_prob_drought,min_prob_drought,std_prob_drought,avg_prob_flood_risk,max_prob_flood_risk,min_prob_flood_risk,std_prob_flood_risk,avg_prob_normal,max_prob_normal,min_prob_normal,std_prob_normal,count_drought,count_normal,count_flood_risk,usd_x_avg_drought,usd_x_avg_flood,usd_x_avg_normal,week_x_avg_drought,week_x_avg_flood,USD_LKR_avg_sq,RateChange_avg_%_sq,week_num_sq,week_sin,week_cos,veg_2,veg_3,veg_4,veg_5,veg_6
1,58.6,-1,0,-1,-1,-1,-1,0,1.0,0.0028571428571428,1.0,0.9985714285714286,0.9985714285714286,1.0,0.0114285714285714,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.9885714285714284,0.0,0.0014285714285714,0.0014285714285714,0.0,0.98,114.35,0.09,3,58.6,52.4,56.53333333333333,3.579571668975682,0.7159183673469388,1.0,0.0028571428571428,0.484192594342311,0.0024489795918367,0.0085714285714285,0.0,0.0041824288840651,0.2816326530612245,0.9885714285714284,0.0,0.4800102242189361,5,2,0,81.86526530612245,0.2800408163265283,32.204693877551016,2.1477551020408163,0.0073469387755101,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,0,0,0
2,67.0,-1,0,-1,-1,-1,-1,0,1.0,0.0028571428571428,1.0,0.9985714285714286,0.9985714285714286,1.0,0.0114285714285714,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.9885714285714284,0.0,0.0014285714285714,0.0014285714285714,0.0,0.98,114.35,0.09,3,51.6,60.6,59.73333333333333,7.736493607140985,0.7159183673469388,1.0,0.0028571428571428,0.484192594342311,0.0024489795918367,0.0085714285714285,0.0,0.0041824288840651,0.2816326530612245,0.9885714285714284,0.0,0.4800102242189361,5,2,0,81.86526530612245,0.2800408163265283,32.204693877551016,2.1477551020408163,0.0073469387755101,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,1,0,0,0,0
3,47.5,-1,0,-1,-1,-1,-1,0,1.0,0.0028571428571428,1.0,0.9985714285714286,0.9985714285714286,1.0,0.0114285714285714,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.9885714285714284,0.0,0.0014285714285714,0.0014285714285714,0.0,0.98,114.35,0.09,3,41.0,38.2,42.23333333333333,4.771093515467217,0.7159183673469388,1.0,0.0028571428571428,0.484192594342311,0.0024489795918367,0.0085714285714285,0.0,0.0041824288840651,0.2816326530612245,0.9885714285714284,0.0,0.4800102242189361,5,2,0,81.86526530612245,0.2800408163265283,32.204693877551016,2.1477551020408163,0.0073469387755101,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,1,0,0,0
4,105.0,-1,0,-1,-1,-1,-1,0,1.0,0.0028571428571428,1.0,0.9985714285714286,0.9985714285714286,1.0,0.0114285714285714,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.9885714285714284,0.0,0.0014285714285714,0.0014285714285714,0.0,0.98,114.35,0.09,3,68.6,66.0,79.86666666666666,21.804892417375815,0.7159183673469388,1.0,0.0028571428571428,0.484192594342311,0.0024489795918367,0.0085714285714285,0.0,0.0041824288840651,0.2816326530612245,0.9885714285714284,0.0,0.4800102242189361,5,2,0,81.86526530612245,0.2800408163265283,32.204693877551016,2.1477551020408163,0.0073469387755101,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,1,0,0
5,22.5,-1,0,-1,-1,-1,-1,0,1.0,0.0028571428571428,1.0,0.9985714285714286,0.9985714285714286,1.0,0.0114285714285714,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.9885714285714284,0.0,0.0014285714285714,0.0014285714285714,0.0,0.98,114.35,0.09,3,25.4,20.4,22.766666666666666,2.51064400768674,0.7159183673469388,1.0,0.0028571428571428,0.484192594342311,0.0024489795918367,0.0085714285714285,0.0,0.0041824288840651,0.2816326530612245,0.9885714285714284,0.0,0.4800102242189361,5,2,0,81.86526530612245,0.2800408163265283,32.204693877551016,2.1477551020408163,0.0073469387755101,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,0,1,0
6,58.0,-1,0,-1,-1,-1,-1,0,1.0,0.0028571428571428,1.0,0.9985714285714286,0.9985714285714286,1.0,0.0114285714285714,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.9885714285714284,0.0,0.0014285714285714,0.0014285714285714,0.0,0.98,114.35,0.09,3,71.6,51.0,60.2,10.474731500138796,0.7159183673469388,1.0,0.0028571428571428,0.484192594342311,0.0024489795918367,0.0085714285714285,0.0,0.0041824288840651,0.2816326530612245,0.9885714285714284,0.0,0.4800102242189361,5,2,0,81.86526530612245,0.2800408163265283,32.204693877551016,2.1477551020408163,0.0073469387755101,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,0,0,1
1,58.6,-1,0,-1,-1,-1,-1,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0028571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9971428571428572,114.65,0.26,4,58.6,58.6,57.05,3.1000000000000023,0.7146938775510204,1.0,0.0,0.4872536630618108,0.0,0.0,0.0,0.0,0.2853061224489796,1.0,0.0,0.4872536630618107,5,2,0,81.93965306122449,0.0,32.710346938775515,2.8587755102040817,0.0,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,0,0,0,0,0
2,67.0,-1,0,-1,-1,-1,-1,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0028571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9971428571428572,114.65,0.26,4,67.0,51.6,61.55,7.287203395908016,0.7146938775510204,1.0,0.0,0.4872536630618108,0.0,0.0,0.0,0.0,0.2853061224489796,1.0,0.0,0.4872536630618107,5,2,0,81.93965306122449,0.0,32.710346938775515,2.8587755102040817,0.0,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,1,0,0,0,0
3,47.5,-1,0,-1,-1,-1,-1,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0028571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9971428571428572,114.65,0.26,4,47.5,41.0,43.55,4.702127178203499,0.7146938775510204,1.0,0.0,0.4872536630618108,0.0,0.0,0.0,0.0,0.2853061224489796,1.0,0.0,0.4872536630618107,5,2,0,81.93965306122449,0.0,32.710346938775515,2.8587755102040817,0.0,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,0,1,0,0,0
4,105.0,-1,0,-1,-1,-1,-1,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0028571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9971428571428572,114.65,0.26,4,105.0,68.6,86.15,21.79197099851228,0.7146938775510204,1.0,0.0,0.4872536630618108,0.0,0.0,0.0,0.0,0.2853061224489796,1.0,0.0,0.4872536630618107,5,2,0,81.93965306122449,0.0,32.710346938775515,2.8587755102040817,0.0,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,0,0,1,0,0
