Date,Vegetable_Name,Season,Daily_Arrival_MT,Estimated_Sales_MT,Wholesale_Price_Rs_kg,Supply_Status
2010-01-01,Carrot,Maha,147.66,110.74,81.27,High
2010-01-02,Carrot,Maha,145.99,109.49,82.2,High
2010-01-03,Carrot,Maha,145.28,108.96,82.6,High
2010-01-04,Carrot,Maha,124.34,93.26,96.51,Stable
2010-01-05,Carrot,Maha,121.98,91.48,98.38,Stable
2010-01-06,Carrot,Maha,136.6,102.45,87.85,Stable
2010-01-07,Carrot,Maha,122.24,91.68,98.17,Stable
2010-01-08,Carrot,Maha,134.17,100.63,89.44,Stable
2010-01-09,Carrot,Maha,125.52,94.14,95.6,Stable
2010-01-10,Carrot,Maha,129.24,96.93,92.85,Stable
2010-01-11,Carrot,Maha,144.54,108.4,83.02,High
2010-01-12,Carrot,Maha,130.0,97.5,92.31,Stable
2010-01-13,Carrot,Maha,130.72,98.04,91.8,Stable
2010-01-14,Carrot,Maha,139.91,104.93,85.77,Stable
2010-01-15,Carrot,Maha,145.33,109.0,82.57,High
2010-01-16,Carrot,Maha,123.46,92.6,97.2,Stable
2010-01-17,Carrot,Maha,144.13,108.1,83.26,High
2010-01-18,Carrot,Maha,131.62,98.72,91.17,Stable
2010-01-19,Carrot,Maha,142.4,106.8,84.27,High
2010-01-20,Carrot,Maha,142.93,107.2,83.96,High
2010-01-21,Carrot,Maha,141.71,106.28,84.68,High
2010-01-22,Carrot,Maha,136.12,102.09,88.16,Stable
2010-01-23,Carrot,Maha,132.68,99.51,90.44,Stable
2010-01-24,Carrot,Maha,126.34,94.76,94.98,Stable
2010-01-25,Carrot,Maha,136.12,102.09,88.16,Stable
2010-01-26,Carrot,Maha,128.3,96.22,93.53,Stable
2010-01-27,Carrot,Maha,145.83,109.37,82.29,High
2010-01-28,Carrot,Maha,137.57,103.18,87.23,Stable
2010-01-29,Carrot,Maha,137.08,102.81,87.54,Stable
2010-01-30,Carrot,Maha,142.67,107.0,84.11,High
2010-01-31,Carrot,Maha,125.34,94.0,95.74,Stable
2010-02-01,Carrot,Maha,148.18,111.14,80.98,High
2010-02-02,Carrot,Maha,125.29,93.97,95.78,Stable
2010-02-03,Carrot,Maha,131.12,98.34,91.52,Stable
2010-02-04,Carrot,Maha,128.64,96.48,93.28,Stable
2010-02-05,Carrot,Maha,133.72,100.29,89.74,Stable
2010-02-06,Carrot,Maha,135.53,101.65,88.54,Stable
2010-02-07,Carrot,Maha,147.42,110.56,81.4,High
2010-02-08,Carrot,Maha,137.82,103.36,87.07,Stable
2010-02-09,Carrot,Maha,124.49,93.37,96.39,Stable
2010-02-10,Carrot,Maha,128.29,96.22,93.54,Stable
2010-02-11,Carrot,Maha,129.63,97.22,92.57,Stable
2010-02-12,Carrot,Maha,135.38,101.54,88.64,Stable
2010-02-13,Carrot,Maha,133.47,100.1,89.91,Stable
2010-02-14,Carrot,Maha,134.29,100.72,89.36,Stable
2010-02-15,Carrot,Maha,126.89,95.17,94.57,Stable
2010-02-16,Carrot,Maha,125.89,94.42,95.32,Stable
2010-02-17,Carrot,Maha,145.35,109.01,82.56,High
2010-02-18,Carrot,Maha,122.84,92.13,97.69,Stable
2010-02-19,Carrot,Maha,136.53,102.4,87.89,Stable
2010-02-20,Carrot,Maha,143.45,107.59,83.65,High
2010-02-21,Carrot,Maha,137.76,103.32,87.11,Stable
2010-02-22,Carrot,Maha,146.99,110.24,81.64,High
2010-02-23,Carrot,Maha,133.21,99.91,90.08,Stable
2010-02-24,Carrot,Maha,147.29,110.47,81.47,High
