Date,Location,Variety,Price
2000-01-15,Dambulla,BITTER GOURD,15.55
2000-02-15,Dambulla,BITTER GOURD,13.95
2000-03-15,Dambulla,BITTER GOURD,15.1
2000-04-15,Dambulla,BITTER GOURD,18.12
2000-05-15,Dambulla,BITTER GOURD,26.0
2000-06-15,Dambulla,BITTER GOURD,30.17
2000-07-15,Dambulla,BITTER GOURD,23.38
2000-08-15,Dambulla,BITTER GOURD,25.19
2000-09-15,Dambulla,BITTER GOURD,26.31
2000-10-15,Dambulla,BITTER GOURD,30.94
2000-11-15,Dambulla,BITTER GOURD,29.33
2000-12-15,Dambulla,BITTER GOURD,31.25
2001-01-15,Dambulla,BITTER GOURD,24.08
2001-02-15,Dambulla,BITTER GOURD,19.53
2001-03-15,Dambulla,BITTER GOURD,26.75
2001-04-15,Dambulla,BITTER GOURD,19.63
2001-05-15,Dambulla,BITTER GOURD,24.94
2001-06-15,Dambulla,BITTER GOURD,29.08
2001-07-15,Dambulla,BITTER GOURD,28.19
2001-08-15,Dambulla,BITTER GOURD,19.25
2001-09-15,Dambulla,BITTER GOURD,22.5
2001-10-15,Dambulla,BITTER GOURD,27.58
2001-11-15,Dambulla,BITTER GOURD,28.25
2001-12-15,Dambulla,BITTER GOURD,22.75
2002-01-15,Dambulla,BITTER GOURD,10.25
2002-02-15,Dambulla,BITTER GOURD,14.25
2002-03-15,Dambulla,BITTER GOURD,21.25
2002-04-15,Dambulla,BITTER GOURD,19.5
2002-05-15,Dambulla,BITTER GOURD,34.25
2002-06-15,Dambulla,BITTER GOURD,33.94
2002-07-15,Dambulla,BITTER GOURD,28.75
2002-08-15,Dambulla,BITTER GOURD,29.38
2002-09-15,Dambulla,BITTER GOURD,23.7
2002-10-15,Dambulla,BITTER GOURD,31.5
2002-11-15,Dambulla,BITTER GOURD,37.63
2002-12-15,Dambulla,BITTER GOURD,27.25
2003-01-15,Dambulla,BITTER GOURD,27.42
2003-02-15,Dambulla,BITTER GOURD,22.75
2003-03-15,Dambulla,BITTER GOURD,22.75
2003-04-15,Dambulla,BITTER GOURD,20.75
2003-05-15,Dambulla,BITTER GOURD,24.0
2003-06-15,Dambulla,BITTER GOURD,26.75
2003-07-15,Dambulla,BITTER GOURD,21.75
2003-08-15,Dambulla,BITTER GOURD,19.83
2003-09-15,Dambulla,BITTER GOURD,24.9
2003-10-15,Dambulla,BITTER GOURD,30.8
2003-11-15,Dambulla,BITTER GOURD,31.35
2003-12-15,Dambulla,BITTER GOURD,31.1
2004-01-15,Dambulla,BITTER GOURD,19.85
2004-02-15,Dambulla,BITTER GOURD,19.55
2004-03-15,Dambulla,BITTER GOURD,18.6
2004-04-15,Dambulla,BITTER GOURD,22.45
2004-05-15,Dambulla,BITTER GOURD,26.3
2004-06-15,Dambulla,BITTER GOURD,31.1
2004-07-15,Dambulla,BITTER GOURD,22.4
2004-08-15,Dambulla,BITTER GOURD,19.56
2004-09-15,Dambulla,BITTER GOURD,20.15
2004-10-15,Dambulla,BITTER GOURD,30.775
2004-11-15,Dambulla,BITTER GOURD,41.4
2004-12-15,Dambulla,BITTER GOURD,29.9
2005-01-15,Dambulla,BITTER GOURD,22.7
2005-02-15,Dambulla,BITTER GOURD,28.55
2005-04-15,Dambulla,BITTER GOURD,16.8
2005-05-15,Dambulla,BITTER GOURD,22.68
2005-06-15,Dambulla,BITTER GOURD,31.0
2005-07-15,Dambulla,BITTER GOURD,32.05
2005-08-15,Dambulla,BITTER GOURD,29.2
2005-09-15,Dambulla,BITTER GOURD,31.6
2005-10-15,Dambulla,BITTER GOURD,31.25
2005-11-15,Dambulla,BITTER GOURD,37.76
2005-12-15,Dambulla,BITTER GOURD,43.93
2006-01-15,Dambulla,BITTER GOURD,26.73
2006-02-15,Dambulla,BITTER GOURD,23.3
2006-03-15,Dambulla,BITTER GOURD,12.95
2006-04-15,Dambulla,BITTER GOURD,12.0
2006-05-15,Dambulla,BITTER GOURD,28.52
2006-06-15,Dambulla,BITTER GOURD,31.07
2006-07-15,Dambulla,BITTER GOURD,32.35
2006-08-15,Dambulla,BITTER GOURD,24.15
2006-09-15,Dambulla,BITTER GOURD,26.7
2006-10-15,Dambulla,BITTER GOURD,31.36
2006-11-15,Dambulla,BITTER GOURD,46.25
2006-12-15,Dambulla,BITTER GOURD,56.2
2007-01-15,Dambulla,BITTER GOURD,53.2
2007-02-15,Dambulla,BITTER GOURD,40.95
2007-03-15,Dambulla,BITTER GOURD,21.53
2007-04-15,Dambulla,BITTER GOURD,20.6
2007-05-15,Dambulla,BITTER GOURD,32.5
2007-06-15,Dambulla,BITTER GOURD,40.53
2007-07-15,Dambulla,BITTER GOURD,44.25
2007-08-15,Dambulla,BITTER GOURD,37.25
2007-09-15,Dambulla,BITTER GOURD,36.88
2007-10-15,Dambulla,BITTER GOURD,41.53
2007-11-15,Dambulla,BITTER GOURD,57.4
2007-12-15,Dambulla,BITTER GOURD,52.88
2008-01-15,Dambulla,BITTER GOURD,48.33
2008-02-15,Dambulla,BITTER GOURD,40.15
2008-03-15,Dambulla,BITTER GOURD,40.95
2008-04-15,Dambulla,BITTER GOURD,52.2
2008-05-15,Dambulla,BITTER GOURD,62.05
2008-06-15,Dambulla,BITTER GOURD,59.15
2008-07-15,Dambulla,BITTER GOURD,46.07
2008-08-15,Dambulla,BITTER GOURD,35.6
2008-09-15,Dambulla,BITTER GOURD,33.64
2008-10-15,Dambulla,BITTER GOURD,36.13
2008-11-15,Dambulla,BITTER GOURD,57.47
2008-12-15,Dambulla,BITTER GOURD,55.05
2009-01-15,Dambulla,BITTER GOURD,56.47
2009-02-15,Dambulla,BITTER GOURD,54.12
2009-03-15,Dambulla,BITTER GOURD,38.65
2009-04-15,Dambulla,BITTER GOURD,33.7
2009-05-15,Dambulla,BITTER GOURD,46.28
2009-06-15,Dambulla,BITTER GOURD,60.28
2009-07-15,Dambulla,BITTER GOURD,46.95
2009-08-15,Dambulla,BITTER GOURD,38.2
2009-09-15,Dambulla,BITTER GOURD,36.0
2009-10-15,Dambulla,BITTER GOURD,55.87
2009-11-15,Dambulla,BITTER GOURD,67.04
2009-12-15,Dambulla,BITTER GOURD,70.75
2010-01-15,Dambulla,BITTER GOURD,57.05
2010-02-15,Dambulla,BITTER GOURD,54.73
2010-03-15,Dambulla,BITTER GOURD,40.24
2010-04-15,Dambulla,BITTER GOURD,26.27
2010-05-15,Dambulla,BITTER GOURD,53.75
2010-06-15,Dambulla,BITTER GOURD,66.37
2010-07-15,Dambulla,BITTER GOURD,58.65
2010-08-15,Dambulla,BITTER GOURD,52.48
2010-09-15,Dambulla,BITTER GOURD,48.9
2010-10-15,Dambulla,BITTER GOURD,63.05
2010-11-15,Dambulla,BITTER GOURD,73.52
2010-12-15,Dambulla,BITTER GOURD,73.75
2011-01-15,Dambulla,BITTER GOURD,72.5
2011-02-15,Dambulla,BITTER GOURD,127.25
2011-03-15,Dambulla,BITTER GOURD,62.0
2011-04-15,Dambulla,BITTER GOURD,32.0
2011-05-15,Dambulla,BITTER GOURD,43.88
2011-06-15,Dambulla,BITTER GOURD,57.35
2011-07-15,Dambulla,BITTER GOURD,40.2
2011-08-15,Dambulla,BITTER GOURD,38.84
2011-09-15,Dambulla,BITTER GOURD,41.5
2011-10-15,Dambulla,BITTER GOURD,49.52
2011-11-15,Dambulla,BITTER GOURD,91.5
2011-12-15,Dambulla,BITTER GOURD,101.25
2012-01-15,Dambulla,BITTER GOURD,65.92
2012-02-15,Dambulla,BITTER GOURD,35.85
2012-03-15,Dambulla,BITTER GOURD,30.0
2012-04-15,Dambulla,BITTER GOURD,28.65
2012-05-15,Dambulla,BITTER GOURD,70.0
