Date,Location,Variety,Price,Year,Month,Quarter,Day_of_year,Season,Is_Yala,Is_Maha,Price_lag1,Price_lag2,Price_lag3,Price_lag6,Price_lag12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12,Rolling_Std_3,Rolling_Std_6,Price_vs_3MA,Price_vs_6MA,Price_Change_1m,Price_Change_3m,YoY_Price,YoY_Change,YoY_Change_Pct
2001-01-15,Dambulla,BITTER GOURD,24.08,2001,1,1,15,Yala,1,0,31.25,29.33,30.94,23.38,15.55,28.22,27.849999999999998,24.485,3.7116438406722123,3.064591326751412,-4.140000000000001,-3.7699999999999996,-0.2294400000000001,-0.22171945701357476,15.55,8.529999999999998,54.85530546623792
2001-02-15,Dambulla,BITTER GOURD,19.53,2001,2,1,46,Yala,1,0,24.08,31.25,29.33,25.19,13.95,24.953333333333333,26.906666666666666,24.95,5.908606716759312,4.555570948483477,-5.423333333333332,-7.376666666666665,-0.18895348837209291,-0.33412887828162285,13.95,5.580000000000002,40.000000000000014
2001-03-15,Dambulla,BITTER GOURD,26.75,2001,3,1,74,Maha,0,1,19.53,24.08,31.25,26.31,15.1,23.453333333333333,26.98,25.92083333333333,3.650566166135499,4.547579575994243,3.296666666666667,-0.23000000000000043,0.36968766001024056,-0.14400000000000002,15.1,11.65,77.15231788079471
2001-04-15,Dambulla,BITTER GOURD,19.63,2001,4,2,105,Maha,0,1,26.75,19.53,24.08,30.94,18.12,21.97,25.095,26.046666666666663,4.139903380515044,4.907625698848678,-2.34,-5.465,-0.2661682242990655,-0.1848006644518272,18.12,1.509999999999998,8.333333333333321
2001-05-15,Dambulla,BITTER GOURD,24.94,2001,5,2,135,Maha,0,1,19.63,26.75,19.53,29.33,26.0,23.77333333333333,24.363333333333333,25.958333333333332,3.700599050604275,4.45647244652838,1.1666666666666714,0.576666666666668,0.27050433010697916,0.27700972862263185,26.0,-1.0599999999999987,-4.076923076923071
2001-06-15,Dambulla,BITTER GOURD,29.08,2001,6,2,166,Intermediate1,0,0,24.94,19.63,26.75,31.25,30.17,24.549999999999997,24.001666666666665,25.867500000000003,4.737056047800145,3.829795904048496,4.530000000000001,5.078333333333333,0.16599839615076162,0.08710280373831769,30.17,-1.0900000000000034,-3.612860457408032
2001-07-15,Dambulla,BITTER GOURD,28.19,2001,7,3,196,Intermediate1,0,0,29.08,24.94,19.63,24.08,23.38,27.403333333333336,24.686666666666667,26.268333333333334,2.179227691943481,4.196601799869347,0.7866666666666653,3.503333333333334,-0.03060522696010992,0.4360672440142641,23.38,4.810000000000002,20.573139435414895
2001-08-15,Dambulla,BITTER GOURD,19.25,2001,8,3,227,Intermediate1,0,0,28.19,29.08,24.94,19.53,25.19,25.506666666666664,24.64,25.773333333333337,5.4366748416043125,4.266389574335656,-6.256666666666664,-5.390000000000001,-0.3171337353671515,-0.22814755412991183,25.19,-5.940000000000001,-23.58078602620088
2001-09-15,Dambulla,BITTER GOURD,22.5,2001,9,3,258,Intermediate2,0,0,19.25,28.19,29.08,26.75,26.31,23.313333333333333,23.93166666666667,25.455833333333334,4.525155614267121,4.198273057659142,-0.8133333333333326,-1.4316666666666684,0.16883116883116878,-0.22627235213204944,26.31,-3.8099999999999987,-14.481185860889392
2001-10-15,Dambulla,BITTER GOURD,27.58,2001,10,4,288,Intermediate2,0,0,22.5,19.25,28.19,19.63,30.94,23.11,25.256666666666664,25.175833333333333,4.198368730828665,3.805252510237217,4.469999999999999,2.323333333333334,0.22577777777777763,-0.021638879035118963,30.94,-3.360000000000003,-10.85972850678734
