Vegetable_Name,Week_Start,ISO_Year,ISO_Week,Is_Train,Time_Index
Bitter Gourd,2009-12-28,2009,53,True,0
Bitter Gourd,2010-01-04,2010,1,True,1
Bitter Gourd,2010-01-11,2010,2,True,2
Bitter Gourd,2010-01-18,2010,3,True,3
Bitter Gourd,2010-01-25,2010,4,True,4
Bitter Gourd,2010-02-01,2010,5,True,5
Bitter Gourd,2010-02-08,2010,6,True,6
Bitter Gourd,2010-02-15,2010,7,True,7
Bitter Gourd,2010-02-22,2010,8,True,8
Bitter Gourd,2010-03-01,2010,9,True,9
Bitter Gourd,2010-03-08,2010,10,True,10
Bitter Gourd,2010-03-15,2010,11,True,11
Bitter Gourd,2010-03-22,2010,12,True,12
Bitter Gourd,2010-03-29,2010,13,True,13
Bitter Gourd,2010-04-05,2010,14,True,14
Bitter Gourd,2010-04-12,2010,15,True,15
Bitter Gourd,2010-04-19,2010,16,True,16
Bitter Gourd,2010-04-26,2010,17,True,17
Bitter Gourd,2010-05-03,2010,18,True,18
Bitter Gourd,2010-05-10,2010,19,True,19
Bitter Gourd,2010-05-17,2010,20,True,20
Bitter Gourd,2010-05-24,2010,21,True,21
Bitter Gourd,2010-05-31,2010,22,True,22
Bitter Gourd,2010-06-07,2010,23,True,23
Bitter Gourd,2010-06-14,2010,24,True,24
Bitter Gourd,2010-06-21,2010,25,True,25
Bitter Gourd,2010-06-28,2010,26,True,26
Bitter Gourd,2010-07-05,2010,27,True,27
Bitter Gourd,2010-07-12,2010,28,True,28
Bitter Gourd,2010-07-19,2010,29,True,29
Bitter Gourd,2010-07-26,2010,30,True,30
Bitter Gourd,2010-08-02,2010,31,True,31
Bitter Gourd,2010-08-09,2010,32,True,32
Bitter Gourd,2010-08-16,2010,33,True,33
Bitter Gourd,2010-08-23,2010,34,True,34
Bitter Gourd,2010-08-30,2010,35,True,35
Bitter Gourd,2010-09-06,2010,36,True,36
Bitter Gourd,2010-09-13,2010,37,True,37
Bitter Gourd,2010-09-20,2010,38,True,38
Bitter Gourd,2010-09-27,2010,39,True,39
Bitter Gourd,2010-10-04,2010,40,True,40
Bitter Gourd,2010-10-11,2010,41,True,41
Bitter Gourd,2010-10-18,2010,42,True,42
Bitter Gourd,2010-10-25,2010,43,True,43
Bitter Gourd,2010-11-01,2010,44,True,44
Bitter Gourd,2010-11-08,2010,45,True,45
Bitter Gourd,2010-11-15,2010,46,True,46
Bitter Gourd,2010-11-22,2010,47,True,47
Bitter Gourd,2010-11-29,2010,48,True,48
Bitter Gourd,2010-12-06,2010,49,True,49
Bitter Gourd,2010-12-13,2010,50,True,50
Bitter Gourd,2010-12-20,2010,51,True,51
Bitter Gourd,2010-12-27,2010,52,True,52
Bitter Gourd,2011-01-03,2011,1,True,53
Bitter Gourd,2011-01-10,2011,2,True,54
Bitter Gourd,2011-01-17,2011,3,True,55
Bitter Gourd,2011-01-24,2011,4,True,56
Bitter Gourd,2011-01-31,2011,5,True,57
Bitter Gourd,2011-02-07,2011,6,True,58
Bitter Gourd,2011-02-14,2011,7,True,59
Bitter Gourd,2011-02-21,2011,8,True,60
Bitter Gourd,2011-02-28,2011,9,True,61
Bitter Gourd,2011-03-07,2011,10,True,62
Bitter Gourd,2011-03-14,2011,11,True,63
Bitter Gourd,2011-03-21,2011,12,True,64
Bitter Gourd,2011-03-28,2011,13,True,65
Bitter Gourd,2011-04-04,2011,14,True,66
Bitter Gourd,2011-04-11,2011,15,True,67
Bitter Gourd,2011-04-18,2011,16,True,68
Bitter Gourd,2011-04-25,2011,17,True,69
Bitter Gourd,2011-05-02,2011,18,True,70
Bitter Gourd,2011-05-09,2011,19,True,71
Bitter Gourd,2011-05-16,2011,20,True,72
Bitter Gourd,2011-05-23,2011,21,True,73
Bitter Gourd,2011-05-30,2011,22,True,74
Bitter Gourd,2011-06-06,2011,23,True,75
Bitter Gourd,2011-06-13,2011,24,True,76
Bitter Gourd,2011-06-20,2011,25,True,77
Bitter Gourd,2011-06-27,2011,26,True,78
Bitter Gourd,2011-07-04,2011,27,True,79
Bitter Gourd,2011-07-11,2011,28,True,80
Bitter Gourd,2011-07-18,2011,29,True,81
Bitter Gourd,2011-07-25,2011,30,True,82
Bitter Gourd,2011-08-01,2011,31,True,83
Bitter Gourd,2011-08-08,2011,32,True,84
Bitter Gourd,2011-08-15,2011,33,True,85
Bitter Gourd,2011-08-22,2011,34,True,86
Bitter Gourd,2011-08-29,2011,35,True,87
Bitter Gourd,2011-09-05,2011,36,True,88
Bitter Gourd,2011-09-12,2011,37,True,89
Bitter Gourd,2011-09-19,2011,38,True,90
Bitter Gourd,2011-09-26,2011,39,True,91
Bitter Gourd,2011-10-03,2011,40,True,92
Bitter Gourd,2011-10-10,2011,41,True,93
Bitter Gourd,2011-10-17,2011,42,True,94
Bitter Gourd,2011-10-24,2011,43,True,95
Bitter Gourd,2011-10-31,2011,44,True,96
Bitter Gourd,2011-11-07,2011,45,True,97
Bitter Gourd,2011-11-14,2011,46,True,98
Bitter Gourd,2011-11-21,2011,47,True,99
Bitter Gourd,2011-11-28,2011,48,True,100
Bitter Gourd,2011-12-05,2011,49,True,101
Bitter Gourd,2011-12-12,2011,50,True,102
Bitter Gourd,2011-12-19,2011,51,True,103
Bitter Gourd,2011-12-26,2011,52,True,104
Bitter Gourd,2012-01-02,2012,1,True,105
Bitter Gourd,2012-01-09,2012,2,True,106
Bitter Gourd,2012-01-16,2012,3,True,107
Bitter Gourd,2012-01-23,2012,4,True,108
Bitter Gourd,2012-01-30,2012,5,True,109
Bitter Gourd,2012-02-06,2012,6,True,110
Bitter Gourd,2012-02-13,2012,7,True,111
Bitter Gourd,2012-02-20,2012,8,True,112
Bitter Gourd,2012-02-27,2012,9,True,113
Bitter Gourd,2012-03-05,2012,10,True,114
Bitter Gourd,2012-03-12,2012,11,True,115
Bitter Gourd,2012-03-19,2012,12,True,116
Bitter Gourd,2012-03-26,2012,13,True,117
Bitter Gourd,2012-04-02,2012,14,True,118
Bitter Gourd,2012-04-09,2012,15,True,119
Bitter Gourd,2012-04-16,2012,16,True,120
Bitter Gourd,2012-04-23,2012,17,True,121
Bitter Gourd,2012-04-30,2012,18,True,122
Bitter Gourd,2012-05-07,2012,19,True,123
Bitter Gourd,2012-05-14,2012,20,True,124
Bitter Gourd,2012-05-21,2012,21,True,125
Bitter Gourd,2012-05-28,2012,22,True,126
Bitter Gourd,2012-06-04,2012,23,True,127
Bitter Gourd,2012-06-11,2012,24,True,128
Bitter Gourd,2012-06-18,2012,25,True,129
Bitter Gourd,2012-06-25,2012,26,True,130
Bitter Gourd,2012-07-02,2012,27,True,131
Bitter Gourd,2012-07-09,2012,28,True,132
Bitter Gourd,2012-07-16,2012,29,True,133
Bitter Gourd,2012-07-23,2012,30,True,134
Bitter Gourd,2012-07-30,2012,31,True,135
Bitter Gourd,2012-08-06,2012,32,True,136
Bitter Gourd,2012-08-13,2012,33,True,137
Bitter Gourd,2012-08-20,2012,34,True,138
Bitter Gourd,2012-08-27,2012,35,True,139
Bitter Gourd,2012-09-03,2012,36,True,140
Bitter Gourd,2012-09-10,2012,37,True,141
Bitter Gourd,2012-09-17,2012,38,True,142
Bitter Gourd,2012-09-24,2012,39,True,143
Bitter Gourd,2012-10-01,2012,40,True,144
Bitter Gourd,2012-10-08,2012,41,True,145
Bitter Gourd,2012-10-15,2012,42,True,146
Bitter Gourd,2012-10-22,2012,43,True,147
Bitter Gourd,2012-10-29,2012,44,True,148
Bitter Gourd,2012-11-05,2012,45,True,149
Bitter Gourd,2012-11-12,2012,46,True,150
Bitter Gourd,2012-11-19,2012,47,True,151
Bitter Gourd,2012-11-26,2012,48,True,152
Bitter Gourd,2012-12-03,2012,49,True,153
Bitter Gourd,2012-12-10,2012,50,True,154
Bitter Gourd,2012-12-17,2012,51,True,155
Bitter Gourd,2012-12-24,2012,52,True,156
Bitter Gourd,2012-12-31,2013,1,True,157
Bitter Gourd,2013-01-07,2013,2,True,158
Bitter Gourd,2013-01-14,2013,3,True,159
Bitter Gourd,2013-01-21,2013,4,True,160
Bitter Gourd,2013-01-28,2013,5,True,161
Bitter Gourd,2013-02-04,2013,6,True,162
Bitter Gourd,2013-02-11,2013,7,True,163
Bitter Gourd,2013-02-18,2013,8,True,164
Bitter Gourd,2013-02-25,2013,9,True,165
Bitter Gourd,2013-03-04,2013,10,True,166
Bitter Gourd,2013-03-11,2013,11,True,167
Bitter Gourd,2013-03-18,2013,12,True,168
Bitter Gourd,2013-03-25,2013,13,True,169
Bitter Gourd,2013-04-01,2013,14,True,170
Bitter Gourd,2013-04-08,2013,15,True,171
Bitter Gourd,2013-04-15,2013,16,True,172
Bitter Gourd,2013-04-22,2013,17,True,173
Bitter Gourd,2013-04-29,2013,18,True,174
Bitter Gourd,2013-05-06,2013,19,True,175
