iter	Passed	Remaining
0	26	5356
1	61	6051
2	85	5619
3	105	5188
4	132	5158
5	155	5041
6	179	4937
7	202	4864
8	227	4831
9	257	4897
10	282	4856
11	306	4802
12	334	4818
13	356	4733
14	381	4710
15	405	4664
16	428	4611
17	448	4532
18	468	4464
19	489	4404
20	510	4352
21	532	4310
22	552	4253
23	573	4205
24	595	4167
25	626	4192
26	650	4170
27	672	4133
28	690	4069
29	700	3968
30	716	3903
31	740	3886
32	761	3851
33	775	3784
34	788	3715
35	811	3698
36	833	3673
37	852	3633
38	862	3562
39	872	3491
40	883	3424
41	893	3359
42	903	3298
43	913	3239
44	924	3184
45	935	3131
46	946	3081
47	956	3030
48	966	2979
49	976	2930
50	986	2883
51	997	2838
52	1010	2803
53	1020	2759
54	1030	2717
55	1041	2677
56	1051	2636
57	1061	2598
58	1071	2561
59	1081	2524
60	1091	2487
61	1102	2452
62	1112	2418
63	1122	2385
64	1132	2351
65	1142	2319
66	1152	2288
67	1162	2257
68	1172	2226
69	1182	2196
70	1193	2168
71	1203	2140
72	1214	2113
73	1224	2085
74	1234	2057
75	1244	2031
76	1255	2005
77	1265	1979
78	1275	1953
79	1285	1928
80	1296	1904
81	1306	1879
82	1316	1856
83	1327	1832
84	1337	1809
85	1347	1786
86	1358	1764
87	1368	1741
88	1378	1719
89	1388	1697
90	1398	1675
91	1408	1653
92	1419	1632
93	1429	1611
94	1439	1590
95	1449	1570
96	1460	1550
97	1470	1530
98	1480	1510
99	1491	1491
100	1501	1472
101	1512	1452
102	1522	1433
103	1532	1415
104	1543	1396
105	1553	1377
106	1563	1359
107	1573	1340
108	1583	1322
109	1594	1304
110	1605	1286
111	1614	1268
112	1625	1251
113	1635	1234
114	1645	1216
115	1659	1201
116	1672	1186
117	1686	1171
118	1705	1160
119	1717	1144
120	1727	1128
121	1738	1111
122	1748	1094
123	1758	1077
124	1768	1060
125	1777	1044
126	1787	1027
127	1798	1011
128	1808	995
129	1818	979
130	1828	963
131	1838	947
132	1848	931
133	1858	915
134	1868	899
135	1878	883
136	1888	868
137	1898	852
138	1908	837
139	1919	822
140	1930	808
141	1941	792
142	1951	777
143	1961	762
144	1971	747
145	1982	733
146	1994	719
147	2008	705
148	2018	690
149	2029	676
150	2039	661
151	2050	647
152	2060	633
153	2071	618
154	2082	604
155	2094	590
156	2105	576
157	2115	562
158	2125	547
159	2135	533
160	2145	519
161	2155	505
162	2165	491
163	2175	477
164	2185	463
165	2195	449
166	2206	435
167	2216	422
168	2226	408
169	2237	394
170	2247	381
171	2256	367
172	2267	353
173	2277	340
174	2287	326
175	2297	313
176	2308	299
177	2318	286
178	2329	273
179	2340	260
180	2350	246
181	2361	233
182	2371	220
183	2381	207
184	2390	193
185	2401	180
186	2411	167
187	2422	154
188	2433	141
189	2442	128
190	2453	115
191	2463	102
192	2473	89
193	2485	76
194	2496	64
195	2506	51
196	2516	38
197	2526	25
198	2536	12
199	2546	0
94	5254	134
195	5292	108
196	5329	81
197	5372	54
198	5403	27
199	5426	0
