time,temperature_2m_mean (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),weather_event_classification,severity,city
2010-01-01,21.2,82,0.0,Dry,Mild,Badulla
2010-01-02,21.4,84,0.0,Dry,Mild,Badulla
2010-01-03,21.2,88,1.0,Light Rain,Light,Badulla
2010-01-04,21.3,85,6.9,Moderate Rain,Moderate,Badulla
2010-01-05,21.1,81,0.8,Light Rain,Light,Badulla
2010-01-06,20.2,78,1.4,Light Rain,Light,Badulla
2010-01-07,21.1,80,0.0,Dry,Mild,Badulla
2010-01-08,22.1,86,7.5,Heavy Rain,Heavy,Badulla
2010-01-09,22.3,88,2.0,Light Rain,Light,Badulla
2010-01-10,22.2,84,0.0,Dry,Mild,Badulla
2010-01-11,22.1,86,2.5,Moderate Rain,Moderate,Badulla
2010-01-12,22.4,84,2.1,Light Rain,Light,Badulla
2010-01-13,22.3,88,2.8,Moderate Rain,Moderate,Badulla
2010-01-14,22.2,87,0.5,Light Rain,Light,Badulla
2010-01-15,21.4,81,0.0,Dry,Mild,Badulla
2010-01-16,21.2,88,2.4,Light Rain,Light,Badulla
2010-01-17,21.1,92,2.5,Moderate Rain,Moderate,Badulla
2010-01-18,21.1,90,1.2,Light Rain,Light,Badulla
2010-01-19,21.5,87,2.1,Light Rain,Light,Badulla
2010-01-20,21.3,80,0.0,Dry,Mild,Badulla
2010-01-21,21.0,80,0.0,Dry,Mild,Badulla
2010-01-22,21.0,80,0.0,Dry,Mild,Badulla
2010-01-23,20.9,79,0.0,Dry,Mild,Badulla
2010-01-24,21.0,81,0.4,Light Rain,Light,Badulla
2010-01-25,21.7,78,0.0,Dry,Mild,Badulla
2010-01-26,21.6,82,0.0,Dry,Mild,Badulla
2010-01-27,21.6,89,1.7,Light Rain,Light,Badulla
2010-01-28,21.9,88,1.0,Light Rain,Light,Badulla
2010-01-29,21.3,87,0.3,Light Rain,Light,Badulla
2010-01-30,20.4,94,58.6,Very Heavy Rain,Extreme,Badulla
2010-01-31,20.8,90,3.6,Moderate Rain,Moderate,Badulla
2010-02-01,21.3,93,0.9,Light Rain,Light,Badulla
2010-02-02,21.5,92,5.0,Moderate Rain,Moderate,Badulla
2010-02-03,21.8,86,0.0,Dry,Mild,Badulla
2010-02-04,21.7,84,0.0,Dry,Mild,Badulla
2010-02-05,21.4,83,0.0,Dry,Mild,Badulla
2010-02-06,21.3,85,0.0,Dry,Mild,Badulla
2010-02-07,21.1,83,0.0,Dry,Mild,Badulla
2010-02-08,21.3,77,0.0,Dry,Mild,Badulla
2010-02-09,21.1,82,0.0,Dry,Mild,Badulla
2010-02-10,22.5,87,3.4,Moderate Rain,Moderate,Badulla
2010-02-11,22.4,89,0.0,Dry,Mild,Badulla
2010-02-12,22.4,89,0.1,Light Rain,Light,Badulla
2010-02-13,23.2,89,0.9,Light Rain,Light,Badulla
2010-02-14,23.0,79,0.0,Dry,Mild,Badulla
2010-02-15,22.8,75,0.0,Dry,Mild,Badulla
2010-02-16,21.6,87,4.7,Moderate Rain,Moderate,Badulla
2010-02-17,22.6,91,1.9,Light Rain,Light,Badulla
2010-02-18,23.3,82,0.0,Dry,Mild,Badulla
2010-02-19,23.0,83,0.0,Dry,Mild,Badulla
2010-02-20,23.5,77,0.0,Dry,Mild,Badulla
2010-02-21,23.5,78,0.0,Dry,Mild,Badulla
2010-02-22,23.5,74,0.0,Dry,Mild,Badulla
2010-02-23,22.8,73,0.0,Dry,Mild,Badulla
2010-02-24,22.9,72,0.0,Dry,Mild,Badulla
2010-02-25,22.7,78,0.0,Dry,Mild,Badulla
2010-02-26,23.8,76,0.0,Dry,Mild,Badulla
2010-02-27,22.9,71,0.0,Dry,Mild,Badulla
2010-02-28,23.5,68,0.0,Dry,Mild,Badulla
2010-03-01,22.8,72,0.0,Dry,Mild,Badulla
2010-03-02,23.1,68,0.0,Dry,Mild,Badulla
2010-03-03,23.7,76,0.4,Light Rain,Light,Badulla
2010-03-04,23.1,79,0.0,Dry,Mild,Badulla
2010-03-05,23.4,76,0.0,Dry,Mild,Badulla
2010-03-06,23.5,71,0.0,Dry,Mild,Badulla
2010-03-07,24.7,69,0.1,Light Rain,Light,Badulla
2010-03-08,24.7,78,0.1,Light Rain,Light,Badulla
2010-03-09,24.6,74,0.0,Dry,Mild,Badulla
