Year,Month,Week_Number,Start_Date,End_Date,Location,Variety,Weekly_Price,Price_Std,Days_In_Week,Month_Year,Price_Change,Price_Change_Pct,Rolling_Mean_4w,Rolling_Std_4w,Rolling_Mean_13w,Rolling_Std_13w,Rolling_Mean_26w,Rolling_Std_26w,Quarter,Season,Price_Band,Fuel_Price
2000,1,1,2000-01-03,2000-01-09,Colombo,BITTER GOURD,37.84,0.18,3,2000-01,,,37.84,,37.84,,37.84,,1,Winter,Low,13.2
2000,1,1,2000-01-03,2000-01-09,Colombo,BRINJALS,36.27,0.1,3,2000-01,,,36.27,,36.27,,36.27,,1,Winter,Low,13.2
2000,1,1,2000-01-03,2000-01-09,Colombo,PUMPKIN,25.28,0.2,3,2000-01,,,25.28,,25.28,,25.28,,1,Winter,Low,13.2
2000,1,1,2000-01-03,2000-01-09,Colombo,TOMATOES,72.82,3.54,3,2000-01,,,72.82,,72.82,,72.82,,1,Winter,Medium-Low,13.2
2000,1,1,2000-01-03,2000-01-09,Colombo,CABBAGE,35.44,0.02,3,2000-01,,,35.44,,35.44,,35.44,,1,Winter,Low,13.2
2000,1,2,2000-01-10,2000-01-16,Colombo,BRINJALS,35.73,0.25,7,2000-01,-0.5400000000000063,-1.4888337468982802,36.0,0.38,36.0,0.38,36.0,0.38,1,Winter,Low,13.2
2000,1,2,2000-01-10,2000-01-16,Colombo,TOMATOES,57.48,5.89,7,2000-01,-15.339999999999996,-21.065641307333145,65.15,10.85,65.15,10.85,65.15,10.85,1,Winter,Low,13.2
2000,1,2,2000-01-10,2000-01-16,Colombo,CABBAGE,35.26,0.1,7,2000-01,-0.1799999999999997,-0.5079006772009022,35.35,0.13,35.35,0.13,35.35,0.13,1,Winter,Low,13.2
2000,1,2,2000-01-10,2000-01-16,Colombo,BITTER GOURD,38.63,0.3,7,2000-01,0.7899999999999991,2.087737843551795,38.24,0.56,38.24,0.56,38.24,0.56,1,Winter,Low,13.2
2000,1,2,2000-01-10,2000-01-16,Colombo,PUMPKIN,24.32,0.4,7,2000-01,-0.9600000000000009,-3.797468354430383,24.8,0.68,24.8,0.68,24.8,0.68,1,Winter,Low,13.2
2000,1,3,2000-01-17,2000-01-23,Colombo,CABBAGE,34.86,0.15,7,2000-01,-0.3999999999999986,-1.1344299489506482,35.19,0.3,35.19,0.3,35.19,0.3,1,Winter,Low,13.2
2000,1,3,2000-01-17,2000-01-23,Colombo,BRINJALS,34.86,0.29,7,2000-01,-0.8699999999999974,-2.434928631402176,35.62,0.71,35.62,0.71,35.62,0.71,1,Winter,Low,13.2
2000,1,3,2000-01-17,2000-01-23,Colombo,TOMATOES,42.04,3.71,7,2000-01,-15.439999999999998,-26.86151704940849,57.45,15.39,57.45,15.39,57.45,15.39,1,Winter,Low,13.2
2000,1,3,2000-01-17,2000-01-23,Colombo,PUMPKIN,23.13,0.34,7,2000-01,-1.1900000000000013,-4.893092105263163,24.24,1.08,24.24,1.08,24.24,1.08,1,Winter,Low,13.2
2000,1,3,2000-01-17,2000-01-23,Colombo,BITTER GOURD,39.42,0.19,7,2000-01,0.7899999999999991,2.04504271291742,38.63,0.79,38.63,0.79,38.63,0.79,1,Winter,Low,13.2
2000,1,4,2000-01-24,2000-01-30,Colombo,BITTER GOURD,39.87,0.09,7,2000-01,0.4499999999999957,1.1415525114155145,38.94,0.89,38.94,0.89,38.94,0.89,1,Winter,Low,13.2
2000,1,4,2000-01-24,2000-01-30,Colombo,BRINJALS,33.89,0.31,7,2000-01,-0.9699999999999988,-2.782558806655189,35.19,1.04,35.19,1.04,35.19,1.04,1,Winter,Low,13.2
2000,1,4,2000-01-24,2000-01-30,Colombo,PUMPKIN,22.14,0.28,7,2000-01,-0.9899999999999984,-4.280155642023339,23.72,1.37,23.72,1.37,23.72,1.37,1,Winter,Low,13.2
2000,1,4,2000-01-24,2000-01-30,Colombo,TOMATOES,33.11,1.87,7,2000-01,-8.93,-21.241674595623216,51.36,17.49,51.36,17.49,51.36,17.49,1,Winter,Low,13.2
2000,1,4,2000-01-24,2000-01-30,Colombo,CABBAGE,34.34,0.18,7,2000-01,-0.519999999999996,-1.4916810097532875,34.98,0.49,34.98,0.49,34.98,0.49,1,Winter,Low,13.2
2000,1,5,2000-01-31,2000-02-06,Colombo,PUMPKIN,21.34,0.22,7,2000-01,-0.8000000000000007,-3.613369467028007,22.73,1.29,23.24,1.59,23.24,1.59,1,Winter,Low,13.2
2000,1,5,2000-01-31,2000-02-06,Colombo,TOMATOES,29.58,0.4,7,2000-01,-3.530000000000001,-10.661431591664153,40.55,12.44,47.01,18.01,47.01,18.01,1,Winter,Low,13.2
2000,1,5,2000-01-31,2000-02-06,Colombo,BRINJALS,32.87,0.32,7,2000-01,-1.0200000000000031,-3.009737385659496,34.34,1.23,34.72,1.37,34.72,1.37,1,Winter,Low,13.2
2000,1,5,2000-01-31,2000-02-06,Colombo,BITTER GOURD,40.06,0.02,7,2000-01,0.1900000000000048,0.4765487835465383,39.5,0.64,39.16,0.92,39.16,0.92,1,Winter,Low,13.2
2000,1,5,2000-01-31,2000-02-06,Colombo,CABBAGE,33.75,0.18,7,2000-01,-0.5900000000000034,-1.718112987769375,34.55,0.65,34.73,0.69,34.73,0.69,1,Winter,Low,13.2
2000,2,1,2000-02-07,2000-02-13,Colombo,BITTER GOURD,40.04,0.03,7,2000-02,-0.0200000000000031,-0.0499251123315105,39.85,0.3,39.31,0.9,39.31,0.9,1,Winter,Low,13.2
2000,2,1,2000-02-07,2000-02-13,Colombo,BRINJALS,31.86,0.3,7,2000-02,-1.009999999999998,-3.0727106784301736,33.37,1.29,34.25,1.7,34.25,1.7,1,Winter,Low,13.2
2000,2,1,2000-02-07,2000-02-13,Colombo,PUMPKIN,20.73,0.16,7,2000-02,-0.6099999999999994,-2.858481724461103,21.84,1.04,22.82,1.76,22.82,1.76,1,Winter,Low,13.2
2000,2,1,2000-02-07,2000-02-13,Colombo,TOMATOES,30.33,0.79,7,2000-02,0.75,2.535496957403651,33.76,5.72,44.23,17.49,44.23,17.49,1,Winter,Low,13.2
2000,2,1,2000-02-07,2000-02-13,Colombo,CABBAGE,33.16,0.17,7,2000-02,-0.5900000000000034,-1.7481481481481584,34.03,0.73,34.47,0.89,34.47,0.89,1,Winter,Low,13.2
2000,2,2,2000-02-14,2000-02-20,Colombo,CABBAGE,32.64,0.15,7,2000-02,-0.519999999999996,-1.5681544028950425,33.47,0.73,34.21,1.07,34.21,1.07,1,Winter,Low,16.2
2000,2,2,2000-02-14,2000-02-20,Colombo,PUMPKIN,20.3,0.11,7,2000-02,-0.4299999999999997,-2.074288470815242,21.13,0.8,22.46,1.87,22.46,1.87,1,Winter,Low,16.2
2000,2,2,2000-02-14,2000-02-20,Colombo,TOMATOES,34.26,1.59,7,2000-02,3.93,12.957467853610286,31.82,2.23,42.8,16.4,42.8,16.4,1,Winter,Low,16.2
2000,2,2,2000-02-14,2000-02-20,Colombo,BITTER GOURD,39.9,0.06,7,2000-02,-0.1400000000000005,-0.3496503496503511,39.97,0.1,39.39,0.85,39.39,0.85,1,Winter,Low,16.2
