Weekly_Price,Start_Date,Data_Type,Weekly_Price_lag1,Weekly_Price_lag2,Weekly_Price_lag3,Rolling_Mean_4w,Rolling_Std_4w,Rolling_Mean_13w,Price_Change_lag1,Price_Change_Pct_lag1,Fuel_Price,Month_Sin,Month_Cos,Day_of_Year,Price_to_Fuel_Ratio,Price_to_Rolling_Mean_Ratio,Price_Std,Variety_encoded,Location_encoded,Season_encoded,Quarter_encoded,Price_Acceleration,High_Volatility_Regime,Positive_Momentum,Price_Position_4w,Fuel_Impact_Ratio,Trend_Consistency,Rolling_Mean_4w_scaled,Rolling_Std_4w_scaled,Fuel_Price_scaled
37.84,2000-01-03,Historical,0.0,0.0,0.0,37.84,0.0,37.84,0.0,0.0,13.2,0.4999999999999999,0.8660254037844387,3,2.866666666666667,1.0,0.18,0,0,4,0,0.0,0,0,0.0,0.0,0.0,-0.8714442236493206,0.0,-1.0191958855926069
38.63,2000-01-10,Historical,37.84,0.0,0.0,38.24,0.56,38.24,0.0,0.0,13.2,0.4999999999999999,0.8660254037844387,10,2.926515151515152,1.0101987447698746,0.3,0,0,4,0,0.0,1,0,1.9749999995062548,0.15816195784363477,0.0,-0.8678846081740731,-0.6567106550462856,-1.0191958855926069
39.42,2000-01-17,Historical,38.63,37.84,0.0,38.63,0.79,38.63,0.7899999999999991,2.087737843551795,13.2,0.4999999999999999,0.8660254037844387,17,2.9863636363636368,1.020450427129174,0.19,0,0,4,0,0.7899999999999991,0,0,1.9999999997468354,0.154927478250146,0.5,-0.8644139830857069,-0.6384520789941639,-1.0191958855926069
39.87,2000-01-24,Historical,39.42,38.63,37.84,38.94,0.89,38.94,0.7899999999999991,2.04504271291742,13.2,0.4999999999999999,0.8660254037844387,24,3.020454545454545,1.0238828967642526,0.09,0,0,4,0,0.0,0,1,1.845454545286781,0.08648125086415655,0.6666666666666666,-0.8616552810923901,-0.6305135676671544,-1.0191958855926069
40.06,2000-01-31,Historical,39.87,39.42,38.63,39.5,0.64,39.16,0.4499999999999957,1.1415525114155145,13.2,0.4999999999999999,0.8660254037844387,31,3.034848484848485,1.0141772151898736,0.02,0,0,4,0,-0.34000000000000347,0,1,1.4444444443298086,0.036102180571433946,1.0,-0.8566718194270436,-0.650359845984678,-1.0191958855926069
40.04,2000-02-07,Historical,40.06,39.87,39.42,39.85,0.3,39.31,0.1900000000000048,0.4765487835465383,13.2,0.8660254037844386,0.5000000000000001,38,3.033333333333333,1.0047678795483062,0.03,0,0,4,0,-0.2599999999999909,0,1,1.1557377048232984,-0.0037822054796312335,1.0,-0.8535571558862022,-0.6773507844965102,-1.0191958855926069
39.9,2000-02-14,Historical,40.04,40.06,39.87,39.97,0.11,39.39,-0.0200000000000031,-0.0499251123315105,16.2,0.8660254037844386,0.5000000000000001,45,2.462962962962963,0.9982486865148862,0.06,0,0,4,0,-0.2100000000000079,0,0,0.932038834860967,-0.021583354916555112,0.6666666666666666,-0.8524892712436278,-0.6924339560178283,-0.986973112357524
39.7,2000-02-21,Historical,39.9,40.04,40.06,39.92,0.17,39.43,-0.1400000000000005,-0.3496503496503511,16.2,0.8660254037844386,0.5000000000000001,52,2.450617283950617,0.9944889779559118,0.06,0,0,4,0,-0.11999999999999741,0,0,0.4255319148030854,-0.030941551409196015,0.3333333333333333,-0.8529342231780338,-0.6876708492216226,-0.986973112357524
39.52,2000-02-28,Historical,39.7,39.9,40.04,39.79,0.23,39.44,-0.1999999999999957,-0.5012531328320695,16.2,0.8660254037844386,0.5000000000000001,59,2.4395061728395064,0.993214375471224,0.05,0,0,4,0,-0.059999999999995196,0,0,-1.4999999991666468,-0.02798768541824309,0.0,-0.8540910982074893,-0.6829077424254169,-0.986973112357524
39.43,2000-03-06,Historical,39.52,39.7,39.9,39.64,0.21,39.44,-0.1799999999999997,-0.4534005037783368,16.2,1.0,6.123233995736766e-17,66,2.433950617283951,0.994702320887992,0.01,0,0,1,0,0.01999999999999602,0,0,-0.6363636361708047,-0.014057579846967289,0.0,-0.855425954010707,-0.6844954446908188,-0.986973112357524
39.5,2000-03-13,Historical,39.43,39.52,39.7,39.54,0.12,39.45,-0.0900000000000034,-0.2277327935222758,16.2,1.0,6.123233995736766e-17,73,2.438271604938272,0.9989883662114316,0.05,0,0,1,0,0.08999999999999629,0,0,-0.10526315786703305,0.010958629607644769,0.0,-0.8563158578795189,-0.6916401048851274,-0.986973112357524
39.79,2000-03-20,Historical,39.5,39.43,39.52,39.56,0.16,39.48,0.0700000000000002,0.1775297996449411,16.2,1.0,6.123233995736766e-17,80,2.456172839506173,1.005813953488372,0.13,0,0,1,0,0.16000000000000358,1,0,0.9999999996,0.04531958118428021,0.3333333333333333,-0.8561378771057565,-0.6884647003543236,-0.986973112357524
40.32,2000-03-27,Historical,39.79,39.5,39.43,39.76,0.4,39.54,0.2899999999999991,0.7341772151898712,16.2,1.0,6.123233995736766e-17,87,2.488888888888889,1.0140845070422535,0.19,0,0,1,0,0.2199999999999989,1,1,3.5454545438429985,0.08222178784245834,0.6666666666666666,-0.8543580693681329,-0.6694122731695008,-0.986973112357524
40.99,2000-04-03,Historical,40.32,39.79,39.5,40.15,0.65,39.78,0.5300000000000011,1.3319929630560472,16.2,0.8660254037844387,-0.4999999999999998,94,2.530246913580247,1.0209215442092154,0.22,0,0,1,1,0.24000000000000205,1,1,2.3770491799381954,0.10257446599975902,1.0,-0.8508874442797664,-0.6495659948519771,-0.986973112357524
41.71,2000-04-10,Historical,40.99,40.32,39.79,40.7,0.83,40.02,0.6700000000000017,1.6617063492063533,16.2,0.8660254037844387,-0.4999999999999998,101,2.574691358024692,1.0248157248157248,0.22,0,0,1,1,0.14000000000000057,1,1,1.885964912115264,0.10842752974913401,1.0,-0.8459929730013012,-0.63527667446336,-0.986973112357524
42.36,2000-04-17,Historical,41.71,40.99,40.32,41.34,0.88,40.25,0.7199999999999989,1.7565259819468135,16.2,0.8660254037844387,-0.4999999999999998,108,2.6148148148148147,1.0246734397677792,0.18,0,0,1,1,0.04999999999999716,1,1,1.6455696201490098,0.09619625219342053,1.0,-0.8402975882409052,-0.6313074187998553,-0.986973112357524
42.87,2000-04-24,Historical,42.36,41.71,40.99,41.98,0.81,40.48,0.6499999999999986,1.5583792855430318,16.2,0.8660254037844387,-0.4999999999999998,115,2.6462962962962964,1.02120057170081,0.14,0,0,1,1,-0.07000000000000028,1,1,1.4863387977329876,0.0743188892381658,1.0,-0.8346022034805093,-0.636864376728762,-0.986973112357524
43.29,2000-05-01,Historical,42.87,42.36,41.71,42.56,0.68,40.72,0.509999999999998,1.2039660056657178,16.2,0.4999999999999999,-0.8660254037844387,122,2.6722222222222225,1.0171522556390975,0.12,0,0,1,1,-0.14000000000000057,1,1,1.392473118204704,0.06047568445478423,1.0,-0.8294407610414003,-0.6471844414538743,-0.986973112357524
43.7,2000-05-08,Historical,43.29,42.87,42.36,43.05,0.57,41.01,0.4200000000000017,0.979706088173552,16.2,0.4999999999999999,-0.8660254037844387,129,2.697530864197532,1.0150987224157957,0.14,0,0,1,1,-0.0899999999999963,1,1,1.3801169589836235,0.05846302142562404,1.0,-0.8250802320842222,-0.6559168039135846,-0.986973112357524
44.2,2000-05-15,Historical,43.7,43.29,42.87,43.52,0.57,41.34,0.4100000000000037,0.9471009471009556,16.2,0.4999999999999999,-0.8660254037844387,136,2.728395061728395,1.015625,0.18,0,0,1,1,-0.00999999999999801,1,1,1.441558441464832,0.0706274543036011,1.0,-0.8208976839008063,-0.6559168039135846,-0.986973112357524
44.88,2000-05-22,Historical,44.2,43.7,43.29,44.02,0.68,41.74,0.5,1.1441647597254003,16.2,0.4999999999999999,-0.8660254037844387,143,2.7703703703703706,1.0195365742844162,0.24,0,0,1,1,0.0899999999999963,1,1,1.5890410957815717,0.09496676163284205,1.0,-0.816448164556747,-0.6471844414538743,-0.986973112357524
45.72,2000-05-29,Historical,44.88,44.2,43.7,44.62,0.88,42.21,0.6799999999999997,1.5384615384615377,16.2,0.4999999999999999,-0.8660254037844387,150,2.8222222222222224,1.024652622142537,0.27,0,0,1,1,0.17999999999999972,1,1,1.7006369425668393,0.11553442925920579,1.0,-0.8111087413438758,-0.6313074187998553,-0.986973112357524
46.6,2000-06-05,Historical,45.72,44.88,44.2,45.35,1.04,42.76,0.8399999999999963,1.871657754010687,16.2,1.2246467991473532e-16,-1.0,157,2.8765432098765435,1.0275633958103638,0.27,0,0,2,1,0.1599999999999966,1,1,1.6830601091976476,0.11881230895447475,1.0,-0.8046124431015492,-0.6186058006766402,-0.986973112357524
47.41,2000-06-12,Historical,46.6,45.72,44.88,46.15,1.09,43.37,0.8800000000000026,1.924759405074372,16.2,1.2246467991473532e-16,-1.0,164,2.926543209876543,1.027302275189599,0.23,0,0,2,1,0.04000000000000625,1,1,1.5915492956999275,0.10729613733839286,1.0,-0.7974932121510541,-0.6146365450131354,-0.986973112357524
48.03,2000-06-19,Historical,47.41,46.6,45.72,46.94,1.0,44.01,0.8099999999999952,1.7381974248926937,19.5,1.2246467991473532e-16,-1.0,171,2.463076923076923,1.0232211333617385,0.15,0,0,2,1,-0.07000000000000739,0,1,1.4698275861435433,0.0670636401491436,1.0,-0.7904629715874404,-0.621781205207444,-0.951528061798933
48.41,2000-06-26,Historical,48.03,47.41,46.6,47.61,0.79,44.63,0.6200000000000045,1.3077409829150064,19.5,1.2246467991473532e-16,-1.0,178,2.4825641025641025,1.0168031926065952,0.08,0,0,2,1,-0.18999999999999062,0,1,1.353982300825044,0.040572932515259875,1.0,-0.7845006156664008,-0.6384520789941639,-0.951528061798933
48.61,2000-07-03,Historical,48.41,48.03,47.41,48.11,0.53,45.21,0.3799999999999954,0.7911721840516248,19.5,-0.4999999999999997,-0.8660254037844388,185,2.4928205128205128,1.010392849719393,0.04,0,0,2,2,-0.24000000000000915,0,1,1.2551020407522906,0.021186552894769273,1.0,-0.7800510963223415,-0.6590922084443885,-0.951528061798933
48.72,2000-07-10,Historical,48.61,48.41,48.03,48.44,0.3,45.75,0.2000000000000028,0.4131377814501195,19.5,-0.4999999999999997,-0.8660254037844388,192,2.4984615384615383,1.0057803468208093,0.03,0,0,2,2,-0.1799999999999926,0,1,1.1866666665875563,0.011604660853726977,1.0,-0.7771144135552623,-0.6773507844965102,-0.951528061798933
48.84,2000-07-17,Historical,48.72,48.61,48.41,48.64,0.18,46.25,0.1099999999999994,0.2262908866488365,19.5,-0.4999999999999997,-0.8660254037844388,199,2.5046153846153847,1.0041118421052633,0.05,0,0,2,2,-0.09000000000000338,0,1,1.1941747571656167,0.012631047113741436,1.0,-0.7753346058176386,-0.6868769980889217,-0.951528061798933
49.04,2000-07-24,Historical,48.84,48.72,48.61,48.8,0.18,46.73,0.1200000000000045,0.2463054187192211,19.5,-0.4999999999999997,-0.8660254037844388,206,2.514871794871795,1.0049180327868852,0.07,0,0,2,2,0.010000000000005102,0,1,1.3478260867611886,0.02100002099991286,1.0,-0.7739107596275395,-0.6868769980889217,-0.951528061798933
49.22,2000-07-31,Historical,49.04,48.84,48.72,48.96,0.22,47.18,0.1999999999999957,0.4095004095004007,19.5,-0.4999999999999997,-0.8660254037844388,213,2.524102564102564,1.00531045751634,0.04,0,0,2,2,0.0799999999999912,0,1,1.4999999997115316,0.01882293888809519,1.0,-0.7724869134374405,-0.6837015935581179,-0.951528061798933
49.26,2000-08-07,Historical,49.22,49.04,48.84,49.09,0.19,47.61,0.1799999999999997,0.3670473083197384,19.5,-0.8660254037844384,-0.5000000000000004,220,2.526153846153846,1.0034630270930942,0.03,0,0,2,2,-0.01999999999999602,0,1,1.3777777774715905,0.004167578324403674,1.0,-0.7713300384079851,-0.6860831469562207,-0.951528061798933
48.99,2000-08-14,Historical,49.26,49.22,49.04,49.13,0.13,47.98,0.0399999999999991,0.0812677773262884,19.5,-0.8660254037844384,-0.5000000000000004,227,2.5123076923076924,0.9971504172603296,0.14,0,0,2,2,-0.1400000000000006,1,1,0.5757575755831089,-0.028108310690382946,1.0,-0.7709740768604604,-0.6908462537524264,-0.951528061798933
48.29,2000-08-21,Historical,48.99,49.26,49.22,48.94,0.45,48.24,-0.269999999999996,-0.5481120584652782,19.5,-0.8660254037844384,-0.5000000000000004,234,2.4764102564102566,0.986718430731508,0.29,0,0,2,2,-0.3099999999999951,1,0,-3.421052629778299,-0.07327502734691153,0.6666666666666666,-0.772664894211203,-0.6654430175059961,-0.951528061798933
47.24,2000-08-28,Historical,48.29,48.99,49.26,48.44,0.9,48.36,-0.7000000000000028,-1.4288630332721022,19.5,-0.8660254037844384,-0.5000000000000004,241,2.4225641025641025,0.9752270850536748,0.35,0,0,2,2,-0.4300000000000068,1,0,-1.7391304345305425,-0.11150580626605419,0.3333333333333333,-0.7771144135552623,-0.6297197165344534,-0.951528061798933
46.12,2000-09-04,Historical,47.24,48.29,48.99,47.66,1.25,48.32,-1.0499999999999972,-2.174363222199207,19.5,-1.0,-1.8369701987210292e-16,248,2.365128205128205,0.9676877885018884,0.32,0,0,0,2,-0.3499999999999943,1,0,-1.0476190475477762,-0.12158318678154767,0.0,-0.7840556637319949,-0.6019349268899202,-0.951528061798933
45.27,2000-09-11,Historical,46.12,47.24,48.29,46.73,1.32,48.16,-1.1200000000000043,-2.3708721422523378,19.5,-1.0,-1.8369701987210292e-16,255,2.3215384615384616,0.9687566873528785,0.19,0,0,0,2,-0.07000000000000717,1,0,-0.6606334841329999,-0.09451375453061527,0.0,-0.7923317697119454,-0.5963779689610136,-0.951528061798933
