,Unnamed: 0,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,CLASS
2120,2120,9002,"ACEROLA JUICE,RAW",94.3,23,0.4,0.3,0.2,4.8,0.3,4.5,10.0,0.5,12.0,9.0,97.0,3.0,0.1,0.086,,0.1,1600.0,0.02,0.06,0.4,0.205,0.004,14.0,0.0,14.0,14.0,,0.0,509.0,25.0,0.0,0.0,305.0,0.0,0.0,17.0,0.18,,,1.4,0.068,0.082,0.09,0.0,242.0,1 cup,30.2,1 fl oz,0.0,11
2379,2379,9311,"ROSELLE,RAW",86.58,49,0.96,0.64,0.51,11.31,,,215.0,1.48,51.0,37.0,208.0,6.0,,,,,12.0,0.011,0.028,0.31,,,,,,,,0.0,287.0,14.0,0.0,,,,,,,,,,,,,0.0,57.0,"1 cup,  without refuse",,,39.0,1
2815,2815,11003,"AMARANTH LEAVES,RAW",91.69,23,2.46,0.33,1.5,4.02,,,215.0,2.32,55.0,50.0,611.0,20.0,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85.0,0.0,85.0,85.0,,0.0,2917.0,146.0,0.0,,,,,,,0.0,0.0,1140.0,0.091,0.076,0.147,0.0,28.0,1 cup,14.0,1 leaf,6.0,1
2817,2817,11005,"ARROWHEAD,RAW",72.48,99,5.33,0.29,1.67,20.23,,,10.0,2.57,51.0,174.0,922.0,22.0,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14.0,0.0,14.0,14.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,25.0,1 large,12.0,1 medium,25.0,0
2819,2819,11007,"ARTICHOKES,(GLOBE OR FRENCH),RAW",84.94,47,3.27,0.15,1.13,10.51,5.4,0.99,44.0,1.28,60.0,90.0,370.0,94.0,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68.0,0.0,68.0,68.0,34.4,0.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0,464.0,0.19,0.0,0.0,14.8,0.036,0.005,0.064,0.0,128.0,"1 artichoke,  medium",162.0,"1 artichoke,  large",60.0,11
2823,2823,11011,"ASPARAGUS,RAW",93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52.0,0.0,52.0,52.0,16.0,0.0,756.0,38.0,0.0,9.0,449.0,0.0,0.0,710.0,1.13,0.0,0.0,41.6,0.04,0.0,0.05,0.0,134.0,1 cup,12.0,"1 spear,  small (5"" long or less)",47.0,11
2833,2833,11026,"BAMBOO SHOOTS,RAW",91.0,27,2.6,0.3,0.9,5.2,2.2,3.0,13.0,0.5,3.0,59.0,533.0,4.0,1.1,0.19,0.262,0.8,4.0,0.15,0.07,0.6,0.161,0.24,7.0,0.0,7.0,7.0,0.0,0.0,20.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.069,0.007,0.134,0.0,151.0,"1 cup,  (1/2"" slices)",76.0,".5 cup,  (1/2"" pieces)",71.0,11
2838,2838,11031,"LIMA BNS,IMMAT SEEDS,RAW",70.24,113,6.84,0.86,1.89,20.17,4.9,1.48,34.0,3.14,58.0,136.0,467.0,8.0,0.78,0.318,1.215,1.8,23.4,0.217,0.103,1.474,0.247,0.204,34.0,0.0,34.0,34.0,40.0,0.0,209.0,10.0,0.0,0.0,126.0,0.0,0.0,0.0,0.32,0.0,0.0,5.6,0.198,0.05,0.419,0.0,156.0,1 cup,,,56.0,10
2845,2845,11043,"MUNG BNS,MATURE SEEDS,SPROUTED,RAW",90.4,30,3.04,0.18,0.44,5.94,1.8,4.13,13.0,0.91,21.0,54.0,149.0,6.0,0.41,0.164,0.188,0.6,13.2,0.084,0.124,0.749,0.38,0.088,61.0,0.0,61.0,61.0,14.4,0.0,21.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,0.1,0.0,0.0,33.0,0.046,0.022,0.058,0.0,104.0,1 cup,340.0,"1 package,  (12 oz)",0.0,11
2862,2862,11080,"BEETS,RAW",87.58,43,1.61,0.17,1.08,9.56,2.8,6.76,16.0,0.8,23.0,40.0,325.0,78.0,0.35,0.075,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109.0,0.0,109.0,109.0,6.0,0.0,33.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.027,0.032,0.06,0.0,136.0,1 cup,82.0,"1 beet,  (2"" dia)",33.0,11
