Feature,Importance
Weekly_Price_lag1,0.544259
Rolling_Mean_4w,0.24237931
Price_Deviation_From_Veg_Avg,0.18236122
Weekly_Price_lag2,0.0124440305
Rolling_Mean_13w,0.010193223
Retail_Wholesale_Ratio,0.0020073038
Price_Change_lag1,0.0014423642
Price_to_Rolling_Mean_Ratio,0.0013098674
Fuel_Impact_Ratio,0.0011031069
Vegetable_encoded,0.0007744441
Price_Change_Pct_lag1,0.00038181746
Price_to_Fuel_Ratio,0.00030152136
Wholesale_lag_2,0.00021178393
Rolling_Std_4w,0.00019902109
Estimated_Wholesale,0.00019697793
Weekly_Price_lag3,6.944306e-05
High_Volatility_Regime,5.7159665e-05
Trend_Consistency,5.049421e-05
Wholesale_Change_1w,4.1228443e-05
Month_Cos,3.7407863e-05
Wholesale_Change_4w,3.665584e-05
Wholesale_lag_1,3.3783406e-05
Day_of_Year,2.8710232e-05
Week_Number,2.8424876e-05
Month_Sin,2.6113235e-05
Price_Position_4w,2.5663887e-05
